ip, state, numofp
59.66.135.22,up,6
59.66.136.1,up,5
59.66.136.2,up,2
59.66.136.3,up,2
59.66.136.4,up,2
59.66.136.5,up,2
59.66.136.6,up,2
59.66.136.7,up,2
59.66.136.8,up,2
59.66.136.9,up,2
59.66.136.10,up,2
59.66.136.11,up,2
59.66.136.18,up,2
59.66.136.25,up,12
59.66.136.67,up,7
59.66.137.1,up,5
59.66.137.2,up,2
59.66.137.3,up,2
59.66.137.4,up,2
59.66.137.5,up,2
59.66.137.6,up,2
59.66.137.7,up,2
59.66.137.8,up,2
59.66.137.9,up,2
59.66.137.10,up,2
59.66.137.11,up,2
59.66.137.15,up,8
59.66.137.16,up,9
59.66.137.19,up,6
59.66.137.20,up,3
59.66.137.27,up,2
59.66.137.38,up,2
59.66.137.50,up,14
59.66.137.55,up,3
59.66.137.78,up,5
59.66.137.119,up,5
59.66.137.147,up,15
59.66.138.1,up,5
59.66.138.2,up,2
59.66.138.3,up,2
59.66.138.4,up,2
59.66.138.5,up,2
59.66.138.6,up,2
59.66.138.8,up,2
59.66.138.9,up,2
59.66.138.10,up,2
59.66.138.11,up,2
59.66.138.17,up,6
59.66.138.21,up,2
59.66.138.23,up,10
59.66.138.26,up,3
59.66.138.36,up,2
59.66.138.42,up,7
59.66.138.49,up,12
59.66.138.59,up,10
59.66.138.61,up,7
59.66.138.63,up,8
59.66.138.74,up,2
59.66.138.84,up,3
59.66.139.1,up,5
59.66.139.2,up,2
59.66.139.3,up,2
59.66.139.5,up,2
59.66.139.6,up,2
59.66.139.7,up,2
59.66.139.8,up,2
59.66.139.9,up,2
59.66.139.10,up,2
59.66.139.15,up,2
59.66.139.23,up,20
59.66.140.1,up,5
59.66.140.2,up,2
59.66.140.3,up,2
59.66.140.4,up,2
59.66.140.5,up,2
59.66.140.6,up,2
59.66.140.7,up,2
59.66.140.8,up,2
59.66.140.9,up,2
59.66.140.10,up,2
59.66.140.33,up,7
59.66.140.40,up,7
59.66.140.71,up,9
59.66.141.1,up,5
59.66.141.2,up,2
59.66.141.3,up,2
59.66.141.4,up,2
59.66.141.5,up,2
59.66.141.6,up,2
59.66.141.7,up,2
59.66.141.8,up,2
59.66.141.9,up,2
59.66.141.10,up,2
59.66.141.15,up,3
59.66.141.27,up,2
59.66.141.31,up,2
59.66.141.46,up,28
59.66.141.48,up,5
59.66.141.55,up,9
59.66.142.1,up,5
59.66.142.2,up,2
59.66.142.3,up,2
59.66.142.4,up,2
59.66.142.5,up,2
59.66.142.7,up,2
59.66.142.8,up,2
59.66.142.9,up,2
59.66.142.10,up,2
59.66.142.11,up,2
59.66.142.24,up,11
59.66.142.33,up,2
59.66.142.35,up,2
59.66.143.1,up,5
59.66.143.2,up,2
59.66.143.3,up,2
59.66.143.4,up,2
59.66.143.5,up,2
59.66.143.16,up,2
59.66.143.25,up,7
59.66.143.36,up,2
59.66.143.38,up,4
59.66.143.49,up,12
59.66.144.1,up,5
59.66.144.2,up,2
59.66.144.3,up,2
59.66.144.4,up,2
59.66.144.5,up,2
59.66.144.6,up,2
59.66.144.7,up,2
59.66.144.8,up,2
59.66.144.9,up,2
59.66.144.10,up,2
59.66.144.11,up,2
59.66.144.14,up,2
59.66.144.29,up,3
59.66.144.31,up,2
59.66.144.36,up,2
59.66.144.45,up,1
59.66.145.1,up,5
59.66.145.2,up,2
59.66.145.3,up,2
59.66.145.4,up,2
59.66.145.5,up,2
59.66.145.6,up,2
59.66.145.8,up,2
59.66.145.9,up,2
59.66.145.10,up,2
59.66.145.11,up,2
59.66.145.39,up,5
59.66.146.1,up,5
59.66.146.2,up,2
59.66.146.3,up,2
59.66.146.4,up,2
59.66.146.5,up,2
59.66.146.6,up,2
59.66.146.9,up,2
59.66.146.10,up,2
59.66.146.11,up,2
59.66.148.1,up,5
59.66.148.2,up,2
59.66.148.3,up,2
59.66.148.4,up,2
59.66.148.5,up,2
59.66.148.6,up,2
59.66.148.7,up,2
59.66.148.8,up,2
59.66.148.9,up,2
59.66.148.10,up,2
59.66.148.11,up,2
59.66.148.14,up,2
59.66.148.23,up,12
59.66.148.27,up,2
59.66.148.28,up,2
59.66.149.1,up,5
59.66.149.2,up,2
59.66.149.3,up,2
59.66.149.4,up,2
59.66.149.5,up,2
59.66.149.6,up,2
59.66.149.7,up,2
59.66.149.8,up,2
59.66.149.9,up,2
59.66.149.10,up,2
59.66.149.11,up,2
59.66.149.12,up,5
59.66.149.14,up,9
59.66.150.1,up,5
59.66.150.2,up,2
59.66.152.77,up,15
59.66.178.2,up,1
59.66.178.3,up,1
59.66.178.4,up,1
59.66.178.5,up,1
59.66.178.6,up,1
59.66.178.7,up,1
59.66.178.8,up,1
59.66.178.9,up,1
59.66.178.10,up,1
59.66.178.11,up,1
59.66.179.1,up,5
59.66.179.2,up,1
59.66.179.3,up,1
59.66.179.4,up,1
59.66.179.5,up,1
59.66.179.6,up,1
59.66.179.7,up,1
59.66.179.8,up,1
59.66.179.9,up,1
59.66.179.10,up,1
59.66.179.11,up,1
59.66.179.23,up,3
59.66.179.24,up,2
59.66.179.26,up,0
59.66.180.1,up,5
59.66.180.2,up,1
59.66.180.16,up,0
59.66.181.1,up,5
59.66.181.2,up,2
59.66.181.3,up,2
59.66.181.4,up,2
59.66.181.5,up,2
59.66.181.6,up,2
59.66.181.7,up,2
59.66.181.8,up,2
59.66.181.9,up,2
59.66.181.10,up,2
59.66.181.11,up,2
59.66.181.12,up,5
59.66.181.15,up,2
59.66.181.17,up,3
59.66.181.19,up,10
59.66.182.1,up,5
59.66.182.2,up,2
59.66.182.3,up,2
59.66.182.4,up,2
59.66.182.5,up,2
59.66.182.6,up,2
59.66.182.7,up,2
59.66.182.8,up,2
59.66.182.9,up,2
59.66.182.10,up,2
59.66.182.11,up,2
59.66.182.15,up,2
59.66.182.24,up,3
59.66.183.1,up,5
59.66.183.2,up,2
59.66.183.3,up,2
59.66.183.4,up,2
59.66.183.5,up,2
59.66.183.6,up,2
59.66.184.1,up,5
59.66.184.2,up,1
59.66.184.3,up,1
59.66.184.4,up,1
59.66.184.5,up,1
59.66.184.6,up,1
59.66.184.7,up,1
59.66.184.8,up,1
59.66.184.9,up,1
59.66.184.10,up,1
59.66.184.11,up,1
59.66.184.14,up,0
59.66.185.1,up,5
59.66.185.2,up,1
59.66.185.3,up,1
59.66.185.4,up,1
59.66.185.5,up,1
59.66.185.6,up,1
59.66.185.7,up,1
59.66.185.8,up,1
59.66.185.9,up,1
59.66.185.10,up,1
59.66.185.11,up,1
59.66.185.14,up,0
59.66.185.16,up,5
59.66.185.19,up,2
59.66.185.22,up,0
59.66.185.24,up,1
59.66.186.1,up,5
59.66.186.2,up,1
59.66.186.3,up,1
59.66.186.4,up,1
59.66.186.5,up,1
59.66.186.6,up,1
59.66.186.7,up,1
59.66.186.8,up,1
59.66.186.9,up,1
59.66.186.10,up,1
59.66.186.11,up,1
59.66.186.20,up,3
59.66.186.21,up,1
59.66.187.1,up,5
59.66.187.2,up,1
59.66.187.3,up,1
59.66.187.4,up,1
59.66.187.5,up,1
59.66.187.6,up,1
59.66.187.14,up,0
59.66.188.1,up,5
59.66.188.2,up,2
59.66.188.3,up,2
59.66.188.4,up,2
59.66.188.5,up,2
59.66.188.6,up,2
59.66.188.7,up,2
59.66.188.8,up,2
59.66.188.9,up,2
59.66.188.10,up,2
59.66.188.11,up,2
59.66.188.17,up,8
59.66.188.18,up,2
59.66.188.20,up,2
59.66.188.24,up,11
59.66.188.29,up,6
59.66.188.57,up,6
59.66.189.1,up,5
59.66.189.2,up,2
59.66.189.3,up,2
59.66.189.4,up,2
59.66.189.5,up,2
59.66.189.6,up,2
59.66.194.1,up,5
59.66.194.2,up,2
